year,city,country,avg_temp
1796,Delhi,India,25.03
1797,Delhi,India,26.71
1798,Delhi,India,24.29
1799,Delhi,India,25.28
1800,Delhi,India,25.21
1801,Delhi,India,24.22
1802,Delhi,India,25.63
1803,Delhi,India,25.38
1804,Delhi,India,25.68
1805,Delhi,India,25.30
1806,Delhi,India,25.22
1807,Delhi,India,24.97
1808,Delhi,India,
1809,Delhi,India,
1810,Delhi,India,
1811,Delhi,India,
1812,Delhi,India,
1813,Delhi,India,24.56
1814,Delhi,India,23.73
1815,Delhi,India,24.09
1816,Delhi,India,23.70
1817,Delhi,India,23.86
1818,Delhi,India,24.37
1819,Delhi,India,23.90
1820,Delhi,India,24.12
1821,Delhi,India,24.83
1822,Delhi,India,24.93
1823,Delhi,India,24.63
1824,Delhi,India,25.30
1825,Delhi,India,25.11
1826,Delhi,India,25.12
1827,Delhi,India,25.36
1828,Delhi,India,24.90
1829,Delhi,India,24.71
1830,Delhi,India,25.07
1831,Delhi,India,24.43
1832,Delhi,India,24.62
1833,Delhi,India,24.85
1834,Delhi,India,24.82
1835,Delhi,India,23.90
1836,Delhi,India,24.54
1837,Delhi,India,24.42
1838,Delhi,India,24.38
1839,Delhi,India,24.45
1840,Delhi,India,24.72
1841,Delhi,India,24.49
1842,Delhi,India,24.78
1843,Delhi,India,24.75
1844,Delhi,India,24.36
1845,Delhi,India,24.60
1846,Delhi,India,25.16
1847,Delhi,India,24.66
1848,Delhi,India,24.45
1849,Delhi,India,24.49
1850,Delhi,India,24.78
1851,Delhi,India,24.76
1852,Delhi,India,24.65
1853,Delhi,India,24.88
1854,Delhi,India,25.02
1855,Delhi,India,25.24
1856,Delhi,India,23.86
1857,Delhi,India,24.30
1858,Delhi,India,
1859,Delhi,India,
1860,Delhi,India,
1861,Delhi,India,
1862,Delhi,India,
1863,Delhi,India,
1864,Delhi,India,
1865,Delhi,India,
1866,Delhi,India,
1867,Delhi,India,
1868,Delhi,India,
1869,Delhi,India,
1870,Delhi,India,24.89
1871,Delhi,India,24.88
1872,Delhi,India,24.94
1873,Delhi,India,25.06
1874,Delhi,India,24.25
1875,Delhi,India,25.38
1876,Delhi,India,24.93
1877,Delhi,India,25.08
1878,Delhi,India,25.18
1879,Delhi,India,24.86
1880,Delhi,India,25.45
1881,Delhi,India,25.09
1882,Delhi,India,24.89
1883,Delhi,India,24.82
1884,Delhi,India,24.67
1885,Delhi,India,24.38
1886,Delhi,India,24.89
1887,Delhi,India,24.90
1888,Delhi,India,24.88
1889,Delhi,India,25.21
1890,Delhi,India,25.06
1891,Delhi,India,24.68
1892,Delhi,India,25.49
1893,Delhi,India,23.84
1894,Delhi,India,24.74
1895,Delhi,India,25.15
1896,Delhi,India,25.83
